Frequency (Hz),Amplitude (dB)
0.0,0.0
0.0,0.0
0.0,0.0
-215.33203125,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-43.06640625,0.0
86.1328125,0.0
0.0,0.0
86.1328125,0.0
0.0,0.0
0.0,0.0
43.06640625,0.0
0.0,0.0
-43.06640625,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
43.06640625,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-215.33203125,0.0
689.0625,0.0
689.0625,0.0
215.33203125,0.0
215.33203125,0.0
689.0625,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
215.33203125,0.0
-215.33203125,0.0
-215.33203125,0.0
258.3984375,0.0
215.33203125,0.0
129.19921875,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
258.3984375,0.0
215.33203125,0.0
0.0,0.0
0.0,0.0
-689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
43.06640625,0.0
-43.06640625,0.0
0.0,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
516.796875,0.0
387.59765625,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
689.0625,0.0
0.0,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
-215.33203125,0.0
86.1328125,0.0
689.0625,0.0
86.1328125,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
215.33203125,0.0
215.33203125,0.0
689.0625,0.0
0.0,0.0
0.0,0.0
0.0,0.0
86.1328125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
215.33203125,0.0
215.33203125,0.0
-689.0625,0.0
689.0625,0.0
0.0,0.0
0.0,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
258.3984375,0.0
-215.33203125,0.0
689.0625,0.0
0.0,0.0
-215.33203125,0.0
0.0,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
0.0,0.0
258.3984375,0.0
0.0,0.0
689.0625,0.0
-689.0625,0.0
0.0,0.0
215.33203125,0.0
689.0625,0.0
258.3984375,0.0
0.0,0.0
258.3984375,0.0
0.0,0.0
0.0,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
0.0,0.0
0.0,0.0
0.0,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
258.3984375,0.0
215.33203125,0.0
-43.06640625,0.0
0.0,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
215.33203125,0.0
689.0625,0.0
215.33203125,0.0
-689.0625,0.0
689.0625,0.0
689.0625,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
0.0,0.0
689.0625,0.0
0.0,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
0.0,0.0
689.0625,0.0
0.0,0.0
0.0,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
0.0,0.0
689.0625,0.0
0.0,0.0
0.0,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
-689.0625,0.0
689.0625,0.0
215.33203125,0.0
689.0625,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
0.0,0.0
0.0,0.0
689.0625,0.0
0.0,0.0
-215.33203125,0.0
215.33203125,0.0
689.0625,0.0
689.0625,0.0
689.0625,0.0
0.0,0.0
689.0625,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
-215.33203125,0.0
258.3984375,0.0
258.3984375,0.0
0.0,0.0
215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
689.0625,0.0
215.33203125,0.0
-215.33203125,0.0
258.3984375,0.0
215.33203125,0.0
258.3984375,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
258.3984375,0.0
0.0,0.0
215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
-215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
258.3984375,0.0
-215.33203125,0.0
215.33203125,0.0
0.0,0.0
215.33203125,0.0
-215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
215.33203125,0.0
0.0,0.0
0.0,0.0
215.33203125,0.0
215.33203125,0.0
